,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Symbol,Company Name,Interest Income,Rent Expense Supplemental,Total Operating Income As Reported,Average Dilution Earnings,Other Special Charges,Impairment Of Capital Assets,Interest Income Non Operating,Selling And Marketing Expense,Otherunder Preferred Stock Dividend,Amortization,Amortization Of Intangibles Income Statement,Preferred Stock Dividends,Earnings From Equity Interest Net Of Tax,General And Administrative Expense,Other Gand A,Net Income Discontinuous Operations,Gain On Sale Of Business,Write Off,Salaries And Wages,Other Taxes,Provision For Doubtful Accounts,Total Other Finance Cost,Depreciation Income Statement,Insurance And Claims,Rent And Landing Fees,Excise Taxes,Depletion Income Statement,Securities Amortization
3/31/2024,-16290000,0.181,768000000,-90000000,-90000000,439000000,76000000,628000000,678000000,602000000,-5000000,66000000,512710000,438000000,1925000000,519000000,516000000,0.85,0.85,438000000,438000000,438000000,,438000000,439000000,97000000,536000000,-90000000,,,,,,-90000000,-5000000,66000000,631000000,1225000000,91000000,4000000,4000000,351000000,779000000,1856000000,700000000,2556000000,2556000000,EBAY,eBay Inc.,61000000,,631000000,,,,61000000,541000000,,4000000,4000000,,,238000000,238000000,-1000000,,,,,,,,,,,,
12/31/2023,184856450,0.293889,712000000,629000000,629000000,728000000,98000000,616000000,1341000000,1243000000,-8000000,212000000,283856450,724000000,2152000000,521000000,518000000,1.39,1.4,724000000,724000000,724000000,,724000000,728000000,303000000,1031000000,629000000,,,,,,629000000,-8000000,212000000,410000000,1442000000,101000000,4000000,4000000,399000000,938000000,1852000000,710000000,2562000000,2562000000,EBAY,eBay Inc.,,,410000000,,,,,573000000,,4000000,4000000,,,365000000,365000000,-4000000,,,,,,,,,,,,
9/30/2023,259368000,0.214,552000000,1212000000,1212000000,1306000000,97000000,612000000,1764000000,1667000000,-6000000,6000000,353368000,1305000000,2045000000,532000000,529000000,2.46,2.47,1305000000,1305000000,1305000000,,1305000000,1306000000,355000000,1661000000,1212000000,,,,,,1212000000,-6000000,6000000,455000000,1340000000,85000000,4000000,4000000,401000000,850000000,1795000000,705000000,2500000000,2500000000,EBAY,eBay Inc.,,,455000000,,,,,567000000,,4000000,4000000,,,283000000,283000000,-1000000,,,,,,,,,,,,
6/30/2023,-84958000,0.397,619000000,-214000000,-214000000,172000000,101000000,622000000,405000000,304000000,-19000000,19000000,301042000,171000000,2022000000,537000000,534000000,0.32,0.32,171000000,171000000,171000000,,171000000,172000000,113000000,285000000,-214000000,,,,,,-214000000,-19000000,19000000,518000000,1304000000,90000000,5000000,5000000,392000000,817000000,1822000000,718000000,2540000000,2540000000,EBAY,eBay Inc.,,,518000000,,,,,566000000,,5000000,5000000,,,251000000,251000000,-1000000,,,,,,,,,,,,
3/31/2023,43758000,0.221,707000000,198000000,198000000,569000000,107000000,601000000,905000000,798000000,-26000000,68000000,414758000,567000000,1952000000,541000000,537000000,1.05,1.06,567000000,567000000,567000000,,567000000,569000000,161000000,730000000,198000000,,,,,,198000000,-26000000,68000000,558000000,1252000000,84000000,8000000,8000000,352000000,808000000,1810000000,700000000,2510000000,2510000000,EBAY,eBay Inc.,42000000,,558000000,,,,42000000,511000000,,8000000,8000000,,,297000000,297000000,-2000000,,,,,,,,,,,,
3/31/2024,-2594400,0.092,816400000,-28200000,-28200000,412100000,234800000,2128100000,788200000,553400000,-71600000,94500000,437705600,412100000,3205800000,287800000,285700000,1.43,1.44,412100000,412100000,412100000,-4500000,416600000,416600000,42300000,458900000,-15600000,12600000,-28200000,,20600000,,,-71600000,94500000,546100000,1077700000,,,,,1077700000,1623800000,2128100000,3751900000,3751900000,ECL,Ecolab Inc.,22900000,,517900000,,7600000,,22900000,,,,,,,,,,,,,,,,,,,,,
12/31/2023,-6883051.163,0.235721,892000000,-29200000,-29200000,405200000,230500000,2284400000,862800000,632300000,-70400000,94800000,427516948.8,405200000,3319200000,287100000,285300000,1.41,1.42,405200000,405200000,405200000,-5600000,410800000,410800000,126700000,537500000,-11300000,17900000,-29200000,,21500000,,,-70400000,94800000,619200000,1034800000,,,,,1034800000,1654000000,2284400000,3938400000,3938400000,ECL,Ecolab Inc.,24400000,,590000000,,7700000,,24400000,,,,,,,,,,,,,,,,,,,,,
9/30/2023,-7009700,0.191,863600000,-36700000,-36700000,404000000,229400000,2330500000,826900000,597500000,-74300000,91300000,433690300,404000000,3355400000,286900000,285100000,1.41,1.42,404000000,404000000,404000000,-5400000,409400000,409400000,96800000,506200000,-22200000,14500000,-36700000,,23000000,,,-74300000,91300000,602700000,1024900000,,,,,1024900000,1627600000,2330500000,3958100000,3958100000,ECL,Ecolab Inc.,17000000,,566000000,,13700000,,17000000,,,,,,,,,,,,,,,,,,,,,
6/30/2023,-4326000,0.206,754400000,-21000000,-21000000,329700000,229400000,2334800000,733400000,504000000,-77800000,82700000,346374000,329700000,3346400000,286300000,284900000,1.15,1.16,329700000,329700000,329700000,-5000000,334700000,334700000,86600000,421300000,-6600000,14400000,-21000000,,17200000,,,-77800000,82700000,505700000,1011600000,,,,,1011600000,1517300000,2334800000,3852100000,3852100000,ECL,Ecolab Inc.,4900000,,484700000,,3800000,,4900000,,,,,,,,,,,,,,,,,,,,,
3/31/2023,-4410000,0.18,629400000,-24500000,-24500000,233400000,234300000,2205200000,604900000,370600000,-74200000,80100000,253490000,233400000,3195500000,285900000,284600000,0.82,0.82,233400000,233400000,233400000,-4700000,238100000,238100000,52400000,290500000,-11400000,13100000,-24500000,,17600000,,,-74200000,80100000,376100000,990300000,,,,,990300000,1366400000,2205200000,3571600000,3571600000,ECL,Ecolab Inc.,5900000,,351600000,,6900000,,5900000,,,,,,,,,,,,,,,,,,,,,
3/31/2024,-200000,0.2,1733000000,-1000000,-1000000,720000000,539000000,1892000000,1732000000,1193000000,-289000000,289000000,720800000,720000000,3239000000,346800000,345500000,2.08,2.08,720000000,720000000,720000000,0,720000000,720000000,184000000,904000000,152000000,153000000,-20000000,,,,19000000,-289000000,289000000,1041000000,1347000000,,539000000,539000000,,,2388000000,1892000000,4280000000,4280000000,ED,"Consolidated Edison, Inc.",,,1011000000,,-10000000,,,,,,,,,,,,-30000000,,,808000000,,,,,,,,
12/31/2023,7713580.247,0.175309,1151000000,44000000,44000000,334000000,525000000,1706000000,1195000000,670000000,-265000000,265000000,297713580.2,334000000,2992000000,,,,,334000000,334000000,334000000,0,334000000,334000000,71000000,405000000,218000000,174000000,5000000,,,,39000000,-265000000,265000000,452000000,1286000000,,525000000,525000000,,,1738000000,1706000000,3444000000,3444000000,ED,"Consolidated Edison, Inc.",,,451000000,,-6000000,,,,,,,,,,,,-1000000,,,761000000,,,,,,,,
9/30/2023,2940000,0.21,1427000000,14000000,14000000,526000000,512000000,1836000000,1441000000,929000000,-259000000,259000000,514940000,526000000,3149000000,346500000,345000000,1.52,1.53,526000000,526000000,526000000,0,526000000,526000000,144000000,670000000,206000000,192000000,6000000,,,,8000000,-259000000,259000000,723000000,1313000000,,512000000,512000000,,,2036000000,1836000000,3872000000,3872000000,ED,"Consolidated Edison, Inc.",,,722000000,,-7000000,,,,,,,,,,,,-1000000,,,801000000,,,,,,,,
6/30/2023,3240000,0.12,960000000,27000000,27000000,226000000,495000000,1462000000,987000000,491000000,-236000000,236000000,202240000,226000000,2673000000,347400000,345900000,0.65,0.65,226000000,226000000,226000000,0,226000000,226000000,29000000,255000000,220000000,193000000,19000000,,,,8000000,-236000000,236000000,271000000,1212000000,,496000000,496000000,,,1483000000,1461000000,2944000000,2944000000,ED,"Consolidated Edison, Inc.",,,284000000,,-6000000,,,,,,,,,,,,13000000,,,716000000,,,,,,,,
3/31/2023,121660000,0.14,1565000000,869000000,869000000,1433000000,499000000,2255000000,2434000000,1935000000,-262000000,262000000,685660000,1433000000,3519000000,354200000,352900000,4.05,4.06,1433000000,1433000000,1433000000,3000000,1430000000,1430000000,243000000,1673000000,1051000000,182000000,861000000,,,,8000000,-262000000,262000000,884000000,1264000000,,499000000,499000000,,,2148000000,2255000000,4403000000,4403000000,ED,"Consolidated Edison, Inc.",,,1739000000,,-6000000,,,,,,,,,,,,855000000,,,765000000,,,,,,,,
2/29/2024,383302.2425,0.248092,111887000,1545000,1545000,87167000,,644786000,113432000,113432000,,,86005302.24,87167000,1093854000,167172736,165498220,0.5,0.5,87167000,87167000,87167000,1377000,85790000,85790000,32703000,131818000,18386000,16841000,,,,,1545000,,,113432000,449068000,,,,,449068000,562500000,644786000,1207286000,1207286000,EDU,New Oriental Education & Technology Group Inc.,,,113432000,,,,,161259000,,,,,-13325000,287809000,287809000,,,,,,,,,,,,,
11/30/2023,-27623.27213,0.153463,21522000,-180000,-180000,30066000,,422558000,21342000,21342000,,,30218376.73,30066000,848258000,166969205,165506935,0.2,0.2,30066000,30066000,30066000,-4666000,34732000,34732000,8926000,58164000,36822000,37002000,,,,,-180000,,,21342000,425700000,,,,,425700000,447042000,422558000,869600000,869600000,EDU,New Oriental Education & Technology Group Inc.,,,21342000,,,,,154965000,,,,,-14506000,270735000,270735000,,,,,,,,,,,,,
8/31/2023,1834145.852,0.253055,197876000,7248000,7248000,165386000,,441218000,205124000,205124000,,,159972145.9,165386000,894897000,166531869,165120388,1,1,165386000,165386000,165386000,-10688000,176074000,176074000,62530000,247100000,41976000,34728000,,,,,7248000,,,205124000,453679000,,,,,453679000,658803000,441218000,1100021000,1100021000,EDU,New Oriental Education & Technology Group Inc.,,,205124000,,,,,136121000,,,,,-8496000,317558000,317558000,,,,,,,,,,,,,
5/31/2023,-4020037.696,0.270637,182100000,-14854000,-14854000,28959000,,391615000,167246000,167246000,,,39792962.3,28959000,812517000,144795000,144795000,0.2,0.2,28959000,28959000,28959000,-10957000,39916000,39916000,19442000,71838000,-89962000,-75108000,,,,,-6798000,,,48054000,420902000,,,,,420902000,468956000,391615000,860571000,860571000,EDU,New Oriental Education & Technology Group Inc.,,,48054000,,,,,-235781000,,,,,-12480000,656683000,656683000,,,,,,,,,,,,,
2/28/2023,1267478.747,0.187719,59739000,6752000,6752000,81648000,,369560000,66491000,66491000,,,76163478.75,81648000,687662000,168141423,166988709,0.5,0.5,81648000,81648000,81648000,-12632000,94280000,94280000,19339000,103021000,36530000,29778000,,,,,6752000,,,66491000,318102000,,,,,318102000,384593000,369560000,754153000,754153000,EDU,New Oriental Education & Technology Group Inc.,,,66491000,,,,,102631000,,,,,10598000,215471000,215471000,,,,,,,,,,,,,
3/31/2024,0,0.243,392900000,,,124900000,166600000,625500000,392900000,226300000,-59700000,59700000,124900000,124900000,1164700000,124800000,123500000,1,1.01,124900000,124900000,124900000,-1200000,126100000,126100000,40500000,166600000,1600000,1600000,,,,,,-59700000,59700000,224700000,537000000,,164400000,164400000,,372600000,761700000,627700000,1389400000,1389400000,EFX,Equifax Inc.,,,224700000,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,0,0.264223,401900000,,,132400000,158800000,579200000,401900000,243100000,-60300000,60300000,132400000,132400000,1081400000,124400000,123300000,1.06,1.07,132400000,132400000,132400000,-2100000,134500000,134500000,48300000,182800000,-2000000,-2000000,,,,,,-60300000,60300000,245100000,499800000,,156400000,156400000,,343400000,744900000,581600000,1326500000,1326500000,EFX,Equifax Inc.,,,245100000,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,0,0.139,410200000,,,162200000,156700000,582900000,410200000,253500000,-62800000,62800000,162200000,162200000,1072700000,123900000,123000000,1.31,1.32,162200000,162200000,162200000,-2100000,164300000,164300000,26400000,190700000,7100000,7100000,,,,,,-62800000,62800000,246400000,487500000,,154400000,154400000,,333100000,733900000,585200000,1319100000,1319100000,EFX,Equifax Inc.,,,246400000,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,0,0.274,404900000,,,138300000,152100000,585500000,404900000,252800000,-60700000,60700000,138300000,138300000,1080700000,123800000,122700000,1.12,1.13,138300000,138300000,138300000,-1100000,139400000,139400000,52700000,192100000,15900000,15900000,,,,,,-60700000,60700000,236900000,492700000,,149600000,149600000,,343100000,729600000,588000000,1317600000,1317600000,EFX,Equifax Inc.,,,236900000,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,0,0.254,362000000,,,112400000,152200000,578300000,362000000,209800000,-57600000,57600000,112400000,112400000,1096600000,123500000,122600000,0.91,0.92,112400000,112400000,112400000,-1100000,113500000,113500000,38700000,152200000,4400000,4400000,,,,,,-57600000,57600000,205400000,516200000,,150100000,150100000,,366100000,721600000,580400000,1302000000,1302000000,EFX,Equifax Inc.,,,205400000,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,0,0.11899,,,,733000000,,,,869000000,-37000000,37000000,733000000,733000000,3248000000,42900000,42900000,16.87,16.87,725000000,725000000,733000000,,733000000,733000000,99000000,832000000,31000000,,,,,,,-37000000,37000000,,,22000000,,,,,,,4080000000,4080000000,EG,"Everest Group, Ltd.",6000000,,,,,,,,8000000,,,,,,,,,,,,,,,,,,,
12/31/2023,0,0.21,,,,804000000,,,,306000000,-35000000,35000000,804000000,804000000,3362000000,43389099,43389099,18.53,18.53,775000000,775000000,804000000,,804000000,803000000,-532000000,271000000,-75000000,,,,,,,-35000000,35000000,,,18000000,,,,,,,3632000000,3632000000,EG,"Everest Group, Ltd.",3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,0,0.064828,,,,678000000,,,,759000000,-34000000,34000000,678000000,678000000,3206000000,42900000,42900000,15.63,15.63,678000000,678000000,678000000,,678000000,678000000,47000000,725000000,103000000,,,,,,,-34000000,34000000,,,19000000,,,,,,,3932000000,3932000000,EG,"Everest Group, Ltd.",5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,0,0.106667,,,,670000000,,,,783000000,-33000000,33000000,670000000,670000000,2848000000,41200000,40700000,16.26,16.26,670000000,670000000,670000000,,670000000,670000000,80000000,750000000,38000000,,,,,,,-33000000,33000000,,,17000000,,,,,,,3599000000,3599000000,EG,"Everest Group, Ltd.",2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,0,0.105392,,,,365000000,,,,440000000,-32000000,32000000,365000000,365000000,2893000000,38700000,38700000,9.31,9.31,360000000,360000000,365000000,,365000000,365000000,43000000,408000000,-79000000,,,,,,,-32000000,32000000,,,19000000,,,,19000000,,,3301000000,3301000000,EG,"Everest Group, Ltd.",0,,,,,,,,5000000,,,,,19000000,19000000,,,,,,,,,,,,,
3/31/2024,18800000,0.4,1043000000,47000000,47000000,52000000,707000000,2320000000,1090000000,383000000,-377000000,444000000,23800000,52000000,3811000000,385000000,385000000,-0.03,-0.03,-11000000,-11000000,52000000,,52000000,52000000,-113000000,-61000000,49000000,2000000,47000000,,,,,-377000000,444000000,267000000,1486000000,,702000000,702000000,,629000000,1753000000,2325000000,4078000000,4078000000,EIX,Edison International,67000000,,245000000,,-47000000,,67000000,,,,,63000000,,629000000,,,,,-22000000,155000000,,,,651000000,,,,
12/31/2023,5491803.279,0.137295,1561000000,40000000,40000000,421000000,687000000,1941000000,1601000000,914000000,-353000000,426000000,386491803.3,421000000,2892000000,,,,,378000000,378000000,421000000,,421000000,421000000,67000000,488000000,27000000,-13000000,40000000,,,,0,-353000000,426000000,814000000,928000000,,664000000,664000000,,121000000,1742000000,1964000000,3706000000,3706000000,EIX,Edison International,73000000,,791000000,,-41000000,1000000,73000000,,,,,43000000,,121000000,,,,,-22000000,143000000,,,,143000000,,,,
9/30/2023,8610000,0.21,1246000000,41000000,41000000,212000000,663000000,2872000000,1287000000,622000000,-365000000,433000000,179610000,212000000,4184000000,385000000,383000000,0.4,0.4,155000000,155000000,212000000,,212000000,212000000,-23000000,189000000,36000000,-5000000,41000000,,,,,-365000000,433000000,518000000,1314000000,,665000000,665000000,,510000000,1832000000,2870000000,4702000000,4702000000,EIX,Edison International,68000000,,492000000,,-41000000,0,68000000,,,,,57000000,,510000000,,,,,-26000000,139000000,,,,536000000,,,,
6/30/2023,4329000,0.111,1508000000,39000000,39000000,409000000,695000000,2343000000,1547000000,852000000,-326000000,392000000,374329000,409000000,3214000000,385000000,383000000,0.92,0.92,354000000,354000000,409000000,,409000000,409000000,51000000,460000000,36000000,-3000000,39000000,,,,,-326000000,392000000,750000000,826000000,,650000000,650000000,,27000000,1576000000,2388000000,3964000000,3964000000,EIX,Edison International,66000000,,724000000,,-39000000,0,66000000,,,,,55000000,,27000000,,,,,-26000000,149000000,,,,53000000,,,,
3/31/2023,1134920.635,0.034392,1382000000,33000000,33000000,365000000,676000000,2382000000,1415000000,739000000,-299000000,361000000,333134920.6,365000000,3320000000,384000000,383000000,0.81,0.81,310000000,310000000,365000000,,365000000,365000000,13000000,378000000,31000000,-2000000,36000000,,,,-3000000,-299000000,361000000,646000000,918000000,,656000000,656000000,,122000000,1564000000,2402000000,3966000000,3966000000,EIX,Edison International,62000000,,620000000,,-36000000,,62000000,,,,,55000000,,122000000,,,,,-26000000,140000000,,,,148000000,,,,
3/31/2024,-5598000,0.311,804000000,-18000000,-18000000,330000000,206000000,1107000000,786000000,580000000,-49000000,94000000,342402000,330000000,3391000000,360800000,359100000,0.91,0.92,330000000,330000000,330000000,-5000000,335000000,335000000,151000000,486000000,-14000000,4000000,-18000000,,18000000,,,-49000000,94000000,549000000,2284000000,,,,,2284000000,2833000000,1107000000,3940000000,3940000000,EL,The Estée Lauder Companies Inc.,45000000,,531000000,,,0,45000000,,,,,,,,,,,,,,,,,,,,,
12/31/2023,-2632000,0.376,829000000,-7000000,-7000000,313000000,205000000,1154000000,822000000,617000000,-58000000,98000000,317368000,313000000,3698000000,360000000,358700000,0.87,0.87,313000000,313000000,313000000,-11000000,324000000,324000000,195000000,519000000,-4000000,3000000,-7000000,,7000000,,,-58000000,98000000,581000000,2544000000,,,,,2544000000,3125000000,1154000000,4279000000,4279000000,EL,The Estée Lauder Companies Inc.,40000000,,574000000,,,0,40000000,,,,,,,,,,,,,,,,,,,,,
9/30/2023,-217000,0.217,345000000,-1000000,-1000000,31000000,203000000,1070000000,344000000,141000000,-54000000,95000000,31783000,31000000,3419000000,360500000,358400000,0.09,0.09,31000000,31000000,31000000,-5000000,36000000,36000000,10000000,46000000,1000000,2000000,-1000000,,1000000,,,-54000000,95000000,99000000,2349000000,,,,,2349000000,2448000000,1070000000,3518000000,3518000000,EL,The Estée Lauder Companies Inc.,41000000,,98000000,,,,41000000,,,,,,,,,,,,,,,,,,,,,
6/30/2023,-10333333.33,0.333333,278000000,-31000000,-31000000,-33000000,196000000,1163000000,247000000,51000000,-46000000,99000000,-12333333.33,-33000000,3583000000,358300000,358300000,-0.09,-0.09,-33000000,-33000000,-33000000,-1000000,-32000000,-32000000,-16000000,-48000000,-28000000,3000000,-31000000,,31000000,,,-46000000,99000000,26000000,2420000000,,,,,2420000000,2446000000,1163000000,3609000000,3636000000,EL,The Estée Lauder Companies Inc.,53000000,,-5000000,,,0,53000000,,,,,,,,,,,,,,,,,,,,,
3/31/2023,-2940000,0.21,541000000,-14000000,-14000000,156000000,189000000,1159000000,527000000,338000000,-21000000,58000000,167060000,156000000,3440000000,361200000,357900000,0.43,0.44,156000000,156000000,156000000,1000000,155000000,155000000,125000000,280000000,-10000000,4000000,-14000000,,14000000,,,-21000000,58000000,311000000,2281000000,,,,,2281000000,2592000000,1159000000,3751000000,3751000000,EL,The Estée Lauder Companies Inc.,37000000,,297000000,,,0,37000000,,,,,,,,,,,,,,,,,,,,,
3/31/2024,0,0.235,,,,2246000000,331000000,,,3204000000,-265000000,265000000,2246000000,2246000000,39638000000,234200000,232700000,9.59,9.65,2246000000,2246000000,2246000000,-3000000,2249000000,2249000000,690000000,2939000000,4499000000,,,,,,,-265000000,265000000,,,8711000000,,116000000,,,,,42577000000,42577000000,ELV,Elevance Health Inc.,,,,,,,,,,116000000,,,,,,,,,,,,,,,,,,
12/31/2023,0,0.16983,,,,856000000,424000000,,,1260000000,-259000000,259000000,856000000,856000000,41646000000,235800000,233071088,3.63,3.672699,856000000,856000000,856000000,25000000,831000000,831000000,170000000,1001000000,5394000000,,,,,,,-259000000,259000000,,,9836000000,,217000000,,,,,42647000000,42647000000,ELV,Elevance Health Inc.,,,,,,,,,,217000000,,,,,,,,,,,,,,,,,,
9/30/2023,0,0.214027,,,,1289000000,426000000,,,1913000000,-259000000,259000000,1289000000,1289000000,41195000000,236500000,235300000,5.45,5.48,1289000000,1289000000,1289000000,-11000000,1300000000,1300000000,354000000,1654000000,5177000000,,,,,,,-259000000,259000000,,,10118000000,,212000000,,,,,42849000000,42849000000,ELV,Elevance Health Inc.,,,,,,,,,,212000000,,,,,,,,,,,,,,,,,,
6/30/2023,0,0.239656,,,,1853000000,433000000,,,2702000000,-261000000,261000000,1853000000,1853000000,41231000000,237800000,236600000,7.79,7.83,1853000000,1853000000,1853000000,-3000000,1856000000,1856000000,585000000,2441000000,4859000000,,,,,,,-261000000,261000000,,,4327000000,,221000000,,4818000000,,,43672000000,43672000000,ELV,Elevance Health Inc.,,,,,,,,,,221000000,,,,,,,,,,,,,,,,,,
3/31/2023,0,0.235,,,,1989000000,462000000,,,2870000000,-251000000,251000000,1989000000,1989000000,39553000000,239700000,237500000,8.3,8.37,1989000000,1989000000,1989000000,-15000000,2004000000,2004000000,615000000,2619000000,4022000000,,,,,,,-251000000,251000000,,,8281000000,,235000000,,4800000000,,,42172000000,42172000000,ELV,Elevance Health Inc.,,,,,,,,,,235000000,,,,,,,,,,,,,,,,,,
3/31/2024,-3680000,0.23,410000000,-16000000,-16000000,165000000,127000000,1778000000,394000000,267000000,-49000000,53000000,177320000,165000000,2023000000,118200000,117400000,1.39,1.4,165000000,165000000,165000000,0,165000000,165000000,49000000,214000000,-24000000,-8000000,-11000000,,11000000,,-5000000,-49000000,53000000,287000000,245000000,,,,59000000,186000000,532000000,1778000000,2310000000,2310000000,EMN,Eastman Chemical Company,4000000,,,,,,4000000,,,,,,,186000000,191000000,,,,-5000000,,,,,,,,,
12/31/2023,85835294.12,0.268235,277000000,320000000,320000000,310000000,118000000,1743000000,597000000,479000000,-52000000,54000000,75835294.12,310000000,2032000000,118700000,118000000,2.61,2.63,310000000,310000000,310000000,-1000000,311000000,311000000,114000000,425000000,302000000,-18000000,308000000,,15000000,,12000000,-52000000,54000000,175000000,289000000,,,,57000000,232000000,464000000,1743000000,2207000000,2207000000,EMN,Eastman Chemical Company,2000000,,,,,0,2000000,,,,,,,,,,323000000,,,,,,,,,,,
9/30/2023,-300000,0.1,381000000,-3000000,-3000000,178000000,120000000,1783000000,378000000,258000000,-57000000,59000000,180700000,178000000,2003000000,119000000,118500000,1.49,1.5,178000000,178000000,178000000,-1000000,179000000,179000000,20000000,199000000,-8000000,-5000000,0,,0,,-3000000,-57000000,59000000,264000000,220000000,,,,60000000,160000000,484000000,1783000000,2267000000,2267000000,EMN,Eastman Chemical Company,2000000,,,,,0,2000000,,,,,,,,,,0,,,,,,,,,,,
6/30/2023,-420000,0.21,447000000,-2000000,-2000000,272000000,119000000,1740000000,445000000,326000000,-54000000,57000000,273580000,272000000,1982000000,119600000,118800000,2.27,2.28,272000000,272000000,272000000,0,272000000,272000000,-3000000,269000000,-19000000,-17000000,0,0,0,,-2000000,-54000000,57000000,342000000,242000000,,,,60000000,182000000,584000000,1740000000,2324000000,2324000000,EMN,Eastman Chemical Company,3000000,,,,,,3000000,,,,,,,182000000,185000000,,0,,-3000000,,,,,,,,,
3/31/2023,-9300000,0.31,420000000,-30000000,-30000000,134000000,141000000,1883000000,390000000,249000000,-52000000,55000000,154700000,134000000,2133000000,119700000,118900000,1.12,1.13,134000000,134000000,134000000,0,134000000,134000000,60000000,194000000,-33000000,-3000000,-22000000,,22000000,,-8000000,-52000000,55000000,279000000,250000000,,,,62000000,188000000,529000000,1883000000,2412000000,2412000000,EMN,Eastman Chemical Company,3000000,,,,,,3000000,,,,,,,188000000,191000000,,0,,-3000000,,,,,,,,,
3/31/2024,-20930000,0.23,1257000000,-91000000,-91000000,501000000,424000000,1941000000,1166000000,742000000,-26000000,90000000,571070000,501000000,3661000000,574100000,571400000,0.87,0.87,501000000,501000000,501000000,-2000000,503000000,503000000,149000000,652000000,-37000000,34000000,-74000000,,35000000,20000000,-17000000,-26000000,90000000,715000000,1569000000,,273000000,273000000,,1296000000,2284000000,2092000000,4376000000,4376000000,EMR,Emerson Electric Co.,64000000,,,,,,64000000,,,273000000,273000000,,,1296000000,1296000000,0,-39000000,,,,,,,,,,,
12/31/2023,-9850000,0.05,842000000,-197000000,-197000000,142000000,422000000,2053000000,645000000,223000000,-13000000,84000000,329150000,142000000,3752000000,573300000,570800000,0.25,0.25,142000000,142000000,142000000,10000000,132000000,132000000,7000000,139000000,-213000000,20000000,-163000000,,163000000,-36000000,-34000000,-13000000,84000000,365000000,1551000000,,274000000,274000000,,1277000000,1916000000,2201000000,4117000000,4117000000,EMR,Emerson Electric Co.,71000000,,,,,,71000000,,,274000000,274000000,,,,,0,0,,,,,,,,,,,
9/30/2023,-12715707.96,0.231195,1284000000,-55000000,-55000000,701000000,271000000,1932000000,1229000000,958000000,108000000,54000000,743284292,744000000,3317000000,574700000,572000000,1.29,1.300699,744000000,744000000,744000000,6000000,738000000,695000000,209000000,904000000,23000000,33000000,-52000000,,52000000,45000000,-3000000,108000000,54000000,773000000,1239000000,,125000000,125000000,,1114000000,2012000000,2078000000,4090000000,4090000000,EMR,Emerson Electric Co.,162000000,,,,,,162000000,,,125000000,125000000,,,1114000000,1114000000,43000000,0,,,,,,,,,,,
6/30/2023,-9660000,0.21,1132000000,-46000000,-46000000,589000000,257000000,1815000000,1086000000,829000000,0,68000000,625340000,9352000000,3114000000,574000000,570900000,16.292683,16.381153,9352000000,9352000000,9352000000,-14000000,9366000000,603000000,158000000,761000000,-71000000,36000000,-50000000,,50000000,-61000000,4000000,0,68000000,832000000,1162000000,,120000000,120000000,,1042000000,1994000000,1952000000,3946000000,3946000000,EMR,Emerson Electric Co.,68000000,,,,,,68000000,,,120000000,120000000,,,1042000000,1042000000,8763000000,0,,,,,,,,,,,
3/31/2023,-4200000,0.21,993000000,-20000000,-20000000,527000000,263000000,1811000000,973000000,710000000,-53000000,71000000,542800000,792000000,3074000000,573600000,570900000,1.38,1.39,792000000,792000000,792000000,22000000,770000000,505000000,134000000,639000000,10000000,30000000,-29000000,,29000000,0,9000000,-53000000,71000000,682000000,1119000000,,119000000,119000000,,1000000000,1801000000,1955000000,3756000000,3756000000,EMR,Emerson Electric Co.,18000000,,,,,,18000000,,,119000000,119000000,,,1000000000,1000000000,265000000,0,,,,,,,,,,,
